,cid,podcaster_id,title,episode_count,sub_count,primary_cid
90,3042004,,کتاب باز با سروش صحت,1,4788,
91,2494587,7747991.0,پادکست جنایی آخرین شاهد,108,17434,4891686.0
92,4891686,7747991.0,پادکست جنایی آخرین شاهد,108,39988,
93,4912488,13930353.0,پادکست فارسی فیکشن Fiction Podcast,69,43514,
94,2192789,13930353.0,پادکست فارسی فیکشن Fiction Podcast,36,594,4912488.0
95,2358807,13930353.0,پادکست فارسی فیکشن Fiction Podcast,69,34339,4912488.0
96,1480796,7336596.0,پرچم سفید,88,79027,
97,4980537,7336596.0,پرچم سفید,88,50,1480796.0
98,5543017,17731521.0,Masty o Rasty | پادکست فارسی مستی و راستی,312,18,2664563.0
99,2664563,17731521.0,Masty o Rasty | پادکست فارسی مستی و راستی,311,164236,
100,1428375,9191310.0,Radio Offside | پادکست فوتبالی رادیو آفساید,250,198001,
101,2655757,16818955.0,Majoon | پادکست فارسی معجون,30,435,5715462.0
102,2433454,16045081.0,رادیو نیست,48,4656,2421549.0
103,4847127,15751893.0,Saate Sefr Podcast | پادکست فارسی ساعت صفر,74,56168,
104,2393990,15751893.0,Saate Sefr Podcast | پادکست فارسی ساعت صفر,74,7965,4847127.0
105,5564462,15751893.0,Saate Sefr Podcast | پادکست فارسی ساعت صفر,74,80,4847127.0
106,4790123,21957460.0,Radio Jedaal,386,21859,
107,4574180,21957460.0,Radio Jedaal,386,1015,4790123.0
108,2380134,,چکش,22,12259,4498644.0
109,2679588,17821125.0,ketabgard | پادکست فارسی کتابگرد,84,15929,4891509.0
110,4891509,17821125.0,ketabgard | پادکست فارسی کتابگرد,84,36227,
111,2765342,19288820.0,Moniaz Podcast | پادکست فارسی منیاز,47,36934,
112,2164188,,DietCast دایت کست,11,633,
113,3149420,,پادکست فارسی اینترنت اشیا به زبان ساده - iotgoon,1,44,
114,20699,,مقاومت اسلامی لبنان - رادیو اینترنتی,35,193,5077044.0
115,5077044,,مقاومت اسلامی لبنان - رادیو اینترنتی,35,219,
116,2159804,9917438.0,Album | آلبوم,31,5,5433705.0
117,5433705,9917438.0,Album | آلبوم,51,64327,
118,1966757,9917438.0,Album | آلبوم,51,28150,5433705.0
119,2226094,9917438.0,Album | آلبوم,51,2933,5433705.0
120,4908007,10887293.0,MimmPodcast | پادکست میم,37,23054,
121,2003880,10887293.0,MimmPodcast | پادکست میم,37,12414,4908007.0
122,2017459,10887293.0,MimmPodcast | پادکست میم,37,58,4908007.0
123,2376680,14357533.0,پادکست مختصر و مفید,63,14165,4520853.0
124,4520853,14357533.0,پادکست مختصر و مفید,63,63992,
125,3317055,19676377.0,Dungeon Zone | دانجن زون,63,676,
126,5054373,8178802.0,پادکست فوتبال لب,332,60418,
127,2125456,8178802.0,پادکست فوتبال لب,105,1,5054373.0
128,5444757,,پادکست فوتبال لب,333,14,
129,1996927,8178802.0,پادکست فوتبال لب,332,2428,5054373.0
130,1481702,8178802.0,پادکست فوتبال لب,334,55814,5054373.0
131,3019300,18950115.0,Dast Cast دست کست,15,1331,
132,4614035,19491060.0,هاگیرواگیر,76,70663,4492081.0
133,4492081,19491060.0,هاگیرواگیر,76,111773,
134,2664651,19491060.0,هاگیرواگیر,76,20445,4492081.0
135,3150824,18102080.0,پادکست پرسه زنی در بازار,139,11382,
136,2724245,18102080.0,پادکست پرسه زنی در بازار,139,4124,3150824.0
137,2748108,14199420.0,پادکست رخ,77,771371,
138,4493851,11825668.0,Yuri!!! on RADIO یوری!!! بر رادیو,104,13,4498611.0
139,1414434,11825668.0,Yuri!!! on RADIO یوری!!! بر رادیو,64,150,4498611.0
140,1987109,11825668.0,Yuri!!! on RADIO یوری!!! بر رادیو,0,915,4498611.0
141,2380575,11825668.0,Yuri!!! on RADIO یوری!!! بر رادیو,0,36981,4498611.0
142,3073554,,RAVAH / روآح,13,22715,
143,1464834,9525176.0,رادیو کارنکن,88,132420,
144,4889806,9525176.0,رادیو کارنکن,88,113,1464834.0
145,2210788,10020919.0,پادکست فارسی رادیو هیچ  radiohich,49,485,1796941.0
146,1796941,10020919.0,Radio Hich  رادیو هیچ,76,45912,
147,1001363,6479750.0,رادیو دال | Radio Daal,26,23,1210932.0
148,1229917,6479750.0,رادیو دال | Radio Daal,47,2,1210932.0
149,1210932,6479750.0,رادیو دال | Radio Daal,47,52566,
150,2187529,14402532.0,Cognitive Cast | کاگنتیو کست,1,15346,
151,83289,,Deutsch - warum nicht? | قسمت دوم | یاد‌گیری آلمانی | Deutsche Welle,26,131,2623492.0
152,2623492,,Deutsch - warum nicht? | قسمت دوم | یاد‌گیری آلمانی | Deutsche Welle,26,1904,
153,1456741,,رادیو بلاکچین,23,6334,4683004.0
154,241908,18625493.0,Footballcast,165,630,3468056.0
155,3468056,18625493.0,Footballcast,165,985,
156,3792266,19446565.0,دغدغه های روزمره ی من,3,72,
157,35731,,Partovee az Quran with Abdolali Bazargan پرتوي از قرآن با عبدالعلي بازرگان,300,1375,
158,4126636,,Technology,1,0,
159,3128717,19213217.0,RoZh.Lab,31,594,
160,5259452,27584822.0,crime obsession | وسواس جنایت,22,785,
161,2701418,,دوره رایگان هوش کسب و کار https://Sepnaweb.Com,8,628,
162,2846043,18195281.0,پادکست آرامش,29,25,4488278.0
163,4488278,18195281.0,پادکست آرامش,29,21181,
164,2861634,18195281.0,پادکست آرامش,33,5134,4488278.0
165,534517,10102209.0,Khodcast - خودکست,172,831,2363517.0
166,2363517,10102209.0,Khodcast - خودکست,357,26921,
167,1437625,,Randevoo پادکست فارسی راندوو,38,3667,2008722.0
168,2008722,,Randevoo پادکست فارسی راندوو,38,5315,
169,3705135,,پادکست فارسی پارانویا | Paranoia,22,14,3696797.0
170,4918867,14199420.0,Wrapup | رپاپ,14,71901,
171,2801782,19629816.0,Persian Real Estate Podcast | پادکست املاک ایرانیان,4,478,
172,3108412,,ArchiPod پادکست معماری آرکی پاد,5,61,3108329.0
173,4200752,18832708.0,روانشناسی شخصیت‌ و خوشبختی,1079,68597,2967229.0
174,2539522,21612578.0,Shir ya Khat | شیریاخط,33,2820,
175,515392,21612578.0,Shir ya Khat | شیریاخط,33,374,2539522.0
176,2706919,18000219.0,دیدن | تاریخ فلسفه,19,10488,
177,5262994,14194668.0,TIMECOACH PODCAST,73,8548,
178,2183879,14194668.0,TIMECOACH PODCAST,73,5865,5262994.0
179,1479360,,هووین - پادکست دکتر هو فارسی,20,1726,
180,5453595,23773309.0,کتاب صوتی همسایه‌ها اثر احمد محمود,12,55378,
181,2385543,10648092.0,رادیو نیست,64,14426,
182,2205790,6954138.0,Saferoom Podcast - پادکست فارسی اتاق امن,1,62,
183,1990456,,Religious Manners in Modern World سلوک دیندارانه در جهان مدرن,40,1168,
184,2766342,18950558.0,Living clean - پادکست پاک زیستن,44,485,
185,2622669,17455669.0,راستمرد | مکانی برای خود هیپنوتیزم، مدیتیشن و خودشناسی,49,26412,
186,4956336,,چکاله,2,0,
187,1999196,10648092.0,Paprika پاپریکا,16,1375,2430408.0
188,2430408,10648092.0,Paprika پاپریکا,16,7919,
189,1216188,10648092.0,Paprika پاپریکا,19,336,2430408.0
190,4934253,25828463.0,Bitguide The Open Bitcoin University (Farsi),36,150,
191,3659039,24170316.0,صدانت,323,66,3732200.0
192,1492800,8670471.0,Furbo | فوربو,108,3272,1494431.0
193,1494431,8670471.0,Furbo | فوربو,108,40904,
194,2354941,8670471.0,Furbo | فوربو,108,3154,1494431.0
195,1502010,8670471.0,Furbo | فوربو,108,1,1494431.0
196,3310854,21454805.0,Radio Tragedy رادیو تراژدی,44,70790,
197,2365277,,پادکست فارسی جیب,9,250,
198,5105734,,برنامه دیدگاه خارجی از چین,2,83,
199,261719,,برنامه دیدگاه خارجی از چین,2,56,5105734.0
200,3725798,,برنامه دیدگاه خارجی از چین,2,11,5105734.0
201,1495663,13130175.0,پادکست تاریخی فارسی شیرکاکائو,10,8102,
202,2133578,,RadioMelaMim,96,575,
203,4043615,,Freedom Riders Persian Podcast l پادکست مسافران آزادی,26,187,
204,3110715,18619509.0,پادکست آموزش زبان انگلیسی عطایی آنلاین,92,17,5425936.0
205,5425936,18619509.0,پادکست آموزش زبان انگلیسی عطایی آنلاین,30,13696,
206,2813923,18619509.0,پادکست آموزش زبان انگلیسی عطایی آنلاین,108,10781,5425936.0
207,1969866,10826498.0,Logos,54,2,2021221.0
208,2021221,10826498.0,Logos,58,40260,
209,1377248,10826498.0,Logos,58,17305,2021221.0
210,4758512,19274895.0,DrHolakouee_RazhaVaNiazha,944,1634,
211,4449453,14994005.0,زندگی مایندفول با مدیتیشن | مراقبه‌ی فارسی,98,15753,4888005.0
212,4888005,14994005.0,زندگی مایندفول با مدیتیشن | مراقبه‌ی فارسی,98,169470,
213,2017452,13515971.0,Iran Academia ایران آکادمیا,50,1,2143521.0
214,1365606,13515971.0,Iran Academia ایران آکادمیا,50,181,2143521.0
215,2143521,13515971.0,Iran Academia ایران آکادمیا,80,4537,
216,1983780,13515971.0,Iran Academia ایران آکادمیا,50,2,2143521.0
217,2829346,18447336.0,قصه کلیدر,37,25,5571414.0
218,5571414,18447336.0,قصه کلیدر,37,10549,
219,2426034,,Sekke Podcast | پادکست سکه,99,1546,4985599.0
220,4985599,,Sekke Podcast | پادکست سکه,99,1981,
221,5471707,8369702.0,On podcast پادکست آن,42,184385,
222,1493166,8369702.0,On podcast پادکست آن,42,177696,5471707.0
223,3350387,16898551.0,پادکست کتاب کست - KetabCast,1189,77736,
224,2700840,9827877.0,انگلیسی بی کلاس English_b_kelas,227,1176,
225,3075862,,Line Podcast | پادکست فارسی لاین,6,53,
226,2105424,,تاکسی ایرانشهر و صِداسَوار - روح‌سوار,14,60,3666045.0
227,2107286,,تاکسی ایرانشهر و صِداسَوار - روح‌سوار,13,30,3666045.0
228,1105727,,Khoresht-e Tech - خورشت تکنولوژی,192,5426,5210113.0
229,5210113,,Khoresht-e Tech - خورشت تکنولوژی,192,6049,
230,2526470,11730152.0,راوکست | Ravcast,50,5,2063062.0
231,2063062,11730152.0,راوکست | Ravcast,72,176230,
232,4481337,11730152.0,راوکست | Ravcast,72,843,2063062.0
233,4897170,14232877.0,4Rahecomputer | چهارراه کامپیوتر,40,34829,
234,2667005,14232877.0,4Rahecomputer | چهارراه کامپیوتر,40,8261,4897170.0
235,3707362,,Ofoghe roydad پادکست فارسی افق رویداد,19,64,
236,2747538,17800971.0,قصه های هزار و یک شب | hezaroiekshab | Hezaro Yek Shab,136,29755,
237,2037074,17800971.0,قصه های هزار و یک شب | hezaroiekshab | Hezaro Yek Shab,136,1783,2747538.0
238,4517785,,روان آرام,6,11,4498595.0
239,2407080,,روان آرام,5,600,4498595.0
240,4498595,,روان آرام,6,1844,
241,2788985,13901040.0,Papyrus |پاپیروس | خلاصه کتاب کسب و کار,20,15403,
242,5255869,15407628.0,پادکست فارسی هری پاتر | Harry Potter Podcast,74,0,5251125.0
243,5251125,15407628.0,پادکست فارسی هری پاتر | Harry Potter Podcast,74,6490,
244,2355522,15407628.0,پادکست فارسی هری پاتر | Harry Potter Podcast,74,5834,5251125.0
245,3721078,,Sorkhpodcast,2,96,
246,2405996,,حافظ خوانی - Hafez khani,40,8217,
247,83288,,Deutsch - warum nicht?| قسمت سوم |یاد‌گیری آلمانی | Deutsche Welle,26,116,2623494.0
248,2623494,,Deutsch - warum nicht?| قسمت سوم |یاد‌گیری آلمانی | Deutsche Welle,26,1524,
249,4954239,,Kutena پادکست کوتنا,13,29049,
250,4821624,,Kutena پادکست کوتنا,13,25704,4954239.0
251,3190164,,Ramin Namdar,1,0,
252,2505795,15884484.0,رادیو ترسیم پادکست معماری tarsim,20,8270,
253,4935326,9280115.0,قاف پادکست GhafPodcast,44,33,2545622.0
254,2545622,9280115.0,قاف پادکست GhafPodcast,44,15577,
255,4889165,13742421.0,Anarchy Podcast | پادکست آنارشی,33,362,5040852.0
256,5040852,13742421.0,Anarchy Podcast | پادکست آنارشی,45,5574,
257,4064437,13742421.0,Anarchy Podcast | پادکست آنارشی,32,129,5040852.0
258,4854079,13742421.0,Anarchy Podcast | پادکست آنارشی,24,3,5040852.0
259,4600402,16089160.0,Radio Joloun / پادکست سفر رادیو جولون,66,2,4897135.0
260,2220917,16089160.0,Radio Joloun / پادکست سفر رادیو جولون,66,26049,4897135.0
261,2045814,16089160.0,Radio Joloun / پادکست سفر رادیو جولون,66,142,4897135.0
262,4897135,16089160.0,Radio Joloun / پادکست سفر رادیو جولون,66,43568,
263,1352441,16089160.0,Radio Joloun / پادکست سفر رادیو جولون,66,1728,4897135.0
264,2690946,20268649.0,رادیو شعر,22,376,
265,4900785,9191310.0,Radio Offside | پادکست فوتبالی رادیو آفساید,250,24,1428375.0
266,1467467,9191310.0,Radio Offside | پادکست فوتبالی رادیو آفساید,250,4,1428375.0
267,1308657,9191310.0,Radio Offside | پادکست فوتبالی رادیو آفساید,251,11297,1428375.0
268,2100879,,Radio Nebeshteh | رادیو نبشته,40,517,3224265.0
269,3224265,,Radio Nebeshteh | رادیو نبشته,40,2053,
270,4856465,13473917.0,پادکست داستانی ترپند /TarPand,31,50994,
271,2476802,13473917.0,پادکست داستانی ترپند /TarPand,31,44989,4856465.0
272,3552342,,1234,2,0,
273,5362659,27960271.0,پیامبران و پادشاهان,27,100,
274,3145394,19323031.0,A-Show,4,10,
275,2426245,16708908.0,40 کتاب,5,310,4498744.0
276,5062595,,BONN,12,4,
277,2966535,19319939.0,پادکست این هفته با حامد,8,26,
278,2487404,14413365.0,ایران از نگاه دیگران - Iran in the Eyes of Others,93,183,
279,1951700,12819871.0,Noghte Sare Khat |  پادکست نقطه سر خط,128,6787,
280,2548452,,ایران باستان.,2,143,
281,2879879,,Medical Education ( Persian),3,5,
282,2386719,11533806.0,AhangSaz | پادکست آهنگساز,29,5038,4863930.0
283,4863930,11533806.0,AhangSaz | پادکست آهنگساز,29,9455,
284,2810967,18429820.0,Late Night With The Ghost | آخر شب با روح,28,3890,
285,3967059,21968968.0,هایلایت | Highlights,39,170,
286,5352014,,SkepticTyson,176,888,
287,934239,,Interpretation of Quran with Ali Behzadnia تفسير صوتي قرآن با علي بهزادنيا,231,153,
288,2302093,14211940.0,PARADIGM پارادایم,12,77,2478493.0
289,5080031,,Navahang Podcasts,27,69,
290,2462552,,Navahang Podcasts,27,30,5080031.0
291,3090005,,Glory Stories,13,175,
292,1488054,,Quran Asan with Ostad Bakhtiarinejad ترجمه صوتي قرآن آسان با استاد بختیاری نژاد,114,68,
293,2678226,,Mind Master پادکست,8,290,
294,2894610,,Audio Book - کتاب صوتی,30,702,
295,5427934,16642635.0,پادکست خرقه,67,8895,
296,2491395,16642635.0,پادکست خرقه,69,7389,5427934.0
297,4346791,23794517.0,پادکست سینما اسپویلر |‌ فیلم و سریال,23,1229,
298,3882802,8535477.0,گزیده پادکست فارسی | Persian Podcast Selection,66,537,
299,5458313,8535477.0,گزیده پادکست فارسی | Persian Podcast Selection,66,38,3882802.0
300,2974323,18755230.0,آموزش زبان انگلیسی Talk Stop,31,8058,
301,4112164,,خاطرات یک افسرده,12,306,
302,5384211,28322992.0,1001raah | هزار و یک راه,30,32680,
303,4924682,24055701.0,پادکست علمی اسکرید | Screed,17,3871,
304,4849635,,SA Podcast | پادکست سا,8,7,
305,3351218,13798787.0,شبچراغون,41,26710,5101405.0
306,5101405,13798787.0,شبچراغون,41,27975,
307,3281706,18050658.0,ODO | رادیو فارسی,3,33,
308,1502086,9753769.0,Radio Jabe | پادکست فارسی رادیو جعبه,6,2007,
309,4366410,,Radio Rahzan,3,29,
310,3294121,17477044.0,ککنیک,5,13,
311,2869582,,Dopaminecast | دوپامین: لذت فروش,20,4316,
312,2826173,19039061.0,Mavara podcast ماورا,74,35,2946980.0
313,2946980,19039061.0,Mavara podcast ماورا,72,7336,
314,3698842,,روشن شو,133,41641,
315,3054290,19032228.0,پادکست فارسی فلمینگو / بررسی مقالات ترند پزشکی,96,6199,
316,2465406,,Lern Deutsch آلمانی یاد بگیر,23,2883,
317,3051236,19023878.0,Radio ZireShahr /پادکست رادیو زیرشهر,8,216,
318,2696162,17750216.0,Salamati24 - سلامتی 24,62,215,
319,3354990,,Dastan-e Hezartoo | پادکست داستان هزارتو,22,919,
320,3439915,,KetabCast,4,151,
321,3046614,24779825.0,ایستگاه پرسه‌زنی - Istgahe Parsehzani,12,193,
322,3729814,,Ketabexin500,1,1,
323,2675079,17357953.0,رادیو گردسوز,97,1226,
324,3090456,6953926.0,Royal News Farsi رویال نیوز فارسی,4,3,3087460.0
325,1900682,10267220.0,ايش شعورك,12,247,
326,3134932,,Parisa,1,45,
327,2769505,,Feminism Academy فمنیسم آکادمی,10,242,2887678.0
328,2887678,,Feminism Academy فمنیسم آکادمی,10,2219,
329,4788320,21483659.0,Key Dell | کی دل,49,18,4850591.0
330,4850430,21483659.0,Key Dell | کی دل,51,0,4850591.0
331,4850591,21483659.0,Key Dell | کی دل,31,236,
332,4849160,21483659.0,Key Dell | کی دل,45,0,4850591.0
333,4566626,,تاریخ معماری | Architecture History,40,4149,
334,467847,9549888.0,Dialogue Podcast | پادکست دیالوگ,28,9107,
335,2792343,,TED Persian پادکست تد فارسی,14,3139,
336,3374908,,Thepinpodcast پادکست سنجاق,1,13,
337,2995026,,Volk Oil,1,0,
338,3699070,,Cheshmeye Khorshid | پادکست چشمه خورشید,75,108,
339,2373684,,Cheshmeye Khorshid | پادکست چشمه خورشید,75,27,3699070.0
340,4213764,,Modasaancast | ‌پادکست مدآسان,1,152,
341,2704773,18306796.0,رادیو مثلث - Radio Mosalas,55,19639,
342,2566651,,Radio Darbast پادکست رادیو دربست با اجرای سعید خرسندی,21,7247,
343,4145368,22428540.0,cryptomusic | کریپتوموزیک,36,794,
344,3308629,,پادکست های دیجی بت,9,5,
345,3469150,22028907.0,کتاب صوتی  - Ketab soti,430,6104,
346,4728385,14856750.0,روانشناسی دکتر هلاکویی,35,104227,
347,2529237,,گلستان سعدی,1,386,
348,3629656,20372331.0,بوکیت|Bukit,6,28,
349,2748378,,Zero Degree Radio,3,6,
350,2652691,,تاریخ شفاهی ایران به روایت توئیتر,1,151,
351,2522727,16853022.0,Imanirad Podcast,27,5027,2892865.0
352,2892865,16853022.0,Imanirad Podcast,11,5636,
353,2698663,9753769.0,آموزش زبان انگلیسی با امین  | Learn English With Amin,30,34681,
354,1706834,8991560.0,LoheSefid | پادکست فارسی لوح سفید,6,12387,
355,4925769,,فلسفه به زبان ساده,6,574,
356,2500171,12819871.0,Serre Ashekar | پادکست سر آشکار,95,139,
357,3514014,11533806.0,AhangeShab | پادکست آهنگ شب,147,47631,4852633.0
358,4852633,11533806.0,AhangeShab | پادکست آهنگ شب,147,53961,
359,3332716,,فلسفه و اراده به دانستن حقیقت,16,1152,
360,5546595,8190499.0,Paragraph | پاراگراف,27,98172,
361,1367202,8190499.0,Paragraph | پاراگراف,27,36098,5546595.0
362,1394617,8190499.0,Paragraph | پاراگراف,27,2,5546595.0
363,2046621,8190499.0,Paragraph | پاراگراف,27,56720,5546595.0
364,1984482,8190499.0,Paragraph | پاراگراف,24,0,5546595.0
365,4994128,17425205.0,پادکست جنایی مختومه,32,18996,
366,2845240,17425205.0,پادکست جنایی مختومه,32,11519,4994128.0
367,4792247,16545428.0,Round the Fire with Momo (گرد آتش),68,215,
368,2717371,16545428.0,Round the Fire with Momo (گرد آتش),68,103,4792247.0
369,4963716,16519593.0,AJIL | آجیل,79,20063,
370,2525629,16519593.0,AJIL | آجیل,79,16067,4963716.0
371,3859910,21319864.0,Eternal by Anousha,6,26138,5504488.0
372,5504488,21319864.0,Eternal by Anousha,6,28183,
373,3597987,,زندگی شاد روزانه با جویس مایر,152,1270,
374,4841743,25153126.0,عرصه سیمرغ,32,329,
375,3358828,,شعری که زندگی‌ست,5,40,
376,4901564,18240053.0,کریپتو پادکست,34,55227,
377,4462050,18240053.0,کریپتو پادکست,34,52327,4901564.0
378,3281173,7543167.0,Derakht Radio | رادیو درخت,11,4920,
379,3281172,7543167.0,Derakht Radio | رادیو درخت,11,2,3281173.0
380,2647358,,MATTRIN پادکست فارسی,8,156,
381,5493669,21961167.0,majid majidi's Show,1,0,
382,3286376,19586433.0,ARCTALK,6,1473,
383,2717720,17793142.0,Goosheno پادکست ادبی گوشنو,28,889,
384,2729824,18128132.0,پادکست زندگی واقعی,6,674,
385,2884011,,پادکست قصه های سفر | MrTripic,7,1590,
386,1496893,9251766.0,Ampaj | آمپاژ,32,7158,
387,1459436,8991560.0,Giocatore Podcast,59,956,
388,4492021,9674962.0,داستان شب,1118,1168,4498610.0
389,4498610,9674962.0,داستان شب,1118,125191,
390,2382062,9674962.0,داستان شب,1118,15103,4498610.0
391,1413578,9674962.0,داستان شب,1112,336,4498610.0
392,2575433,15478778.0,Gap Time,96,2971,
393,2109802,9301410.0,Podgap | پادگپ,12,11245,
394,2595000,23112845.0,Night Tales | قصه‌های شب,171,898,
395,3048976,18976695.0,هویهٔ مجهول,33,19,
396,5437642,16313618.0,میهن پادکست | پادکست میهن بلاکچین,67,2,4707526.0
397,4707526,16313618.0,میهن پادکست | پادکست میهن بلاکچین,40,5920,
398,4481413,22522476.0,Radio Mi | رادیو میــ,6,1208,
399,4627525,23676879.0,Accountant Life by Amin Ghanbari,9,142,
400,4894158,20100942.0,Ketab Jibi | پادکست کتاب جیبی,85,41066,
